state,avg_monthly_electric_bill
Alabama,173.50
Alaska,143.54
Arizona,160.24
Arkansas,129.13
California,160.86
Colorado,100.57
Connecticut,199.66
Delaware,150.87
District of Columbia,113.23
Florida,156.09
Georgia,151.25
Hawaii,212.12
Idaho,108.73
Illinois,109.99
Indiana,133.06
Iowa,111.54
Kansas,123.90
Kentucky,133.81
Louisiana,140.96
Maine,133.60
Maryland,165.87
Massachusetts,167.20
Michigan,119.31
Minnesota,110.06
Mississippi,154.83
Missouri,129.18
Montana,107.91
Nebraska,110.28
Nevada,139.39
New Hampshire,144.87
New Jersey,128.13
New Mexico,92.88
New York,139.53
North Carolina,143.50
North Dakota,118.38
Ohio,135.16
Oklahoma,132.05
