cbsa,metro,state,population,median_household_income,median_gross_rent
35620,"New York-Newark-Jersey City, NY-NJ",New York,19498249,100855,1848
31080,"Los Angeles-Long Beach-Anaheim, CA",California,12799100,94116,2005
16980,"Chicago-Naperville-Elgin, IL-IN",Illinois,9262825,90171,1391
19100,"Dallas-Fort Worth-Arlington, TX",Texas,8100037,89523,1527
26420,"Houston-Pasadena-The Woodlands, TX",Texas,7510253,82190,1409
12060,"Atlanta-Sandy Springs-Roswell, GA",Georgia,6307261,87876,1560
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Virginia,6304975,127345,1980
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pennsylvania,6246160,92130,1457
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Florida,6183199,73629,1776
38060,"Phoenix-Mesa-Chandler, AZ",Arizona,5070110,84761,1571
14460,"Boston-Cambridge-Newton, MA-NH",Massachusetts,4919179,113149,1931
40140,"Riverside-San Bernardino-Ontario, CA",California,4688053,86165,1763
41860,"San Francisco-Oakland-Fremont, CA",California,4566961,134459,2443
19820,"Detroit-Warren-Dearborn, MI",Michigan,4342304,75987,1173
42660,"Seattle-Tacoma-Bellevue, WA",Washington,4044837,113331,1928
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minnesota,3712020,98964,1397
45300,"Tampa-St. Petersburg-Clearwater, FL",Florida,3342963,71457,1484
41740,"San Diego-Chula Vista-Carlsbad, CA",California,3269973,102285,2154
19740,"Denver-Aurora-Centennial, CO",Colorado,3005131,103979,1818
12580,"Baltimore-Columbia-Towson, MD",Maryland,2834316,101363,1644
36740,"Orlando-Kissimmee-Sanford, FL",Florida,2817933,75693,1642
16740,"Charlotte-Concord-Gastonia, NC-SC",North Carolina,2805115,81072,1323
41180,"St. Louis, MO-IL",Missouri,2796999,79882,1085
41700,"San Antonio-New Braunfels, TX",Texas,2703999,75442,1301
38900,"Portland-Vancouver-Hillsboro, OR-WA",Oregon,2508050,94837,1645
12420,"Austin-Round Rock-San Marcos, TX",Texas,2473275,97798,1630
38300,"Pittsburgh, PA",Pennsylvania,2422725,74440,994
40900,"Sacramento-Roseville-Folsom, CA",California,2420608,94661,1752
29820,"Las Vegas-Henderson-North Las Vegas, NV",Nevada,2336573,73845,1518
17140,"Cincinnati, OH-KY-IN",Ohio,2271479,80471,1062
28140,"Kansas City, MO-KS",Missouri,2221343,83806,1205
18140,"Columbus, OH",Ohio,2180271,82350,1192
17410,"Cleveland, OH",Ohio,2158932,69498,999
26900,"Indianapolis-Carmel-Greenwood, IN",Indiana,2138468,81395,1186
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Tennessee,2102573,85598,1424
41940,"San Jose-Sunnyvale-Santa Clara, CA",California,1945767,157874,2783
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Virginia,1787169,82913,1443
27260,"Jacksonville, FL",Florida,1713240,79141,1459
39300,"Providence-Warwick, RI-MA",Rhode Island,1677803,85610,1251
33340,"Milwaukee-Waukesha, WI",Wisconsin,1560424,78279,1138
39580,"Raleigh-Cary, NC",North Carolina,1509231,96698,1401
36420,"Oklahoma City, OK",Oklahoma,1477926,71112,1075
31140,"Louisville/Jefferson County, KY-IN",Kentucky,1365557,73201,1051
40060,"Richmond, VA",Virginia,1349732,87562,1427
32820,"Memphis, TN-MS-AR",Tennessee,1335674,65707,1151
41620,"Salt Lake City-Murray, UT",Utah,1267864,95123,1470
13820,"Birmingham, AL",Alabama,1184290,70367,1112
23420,"Fresno, CA",California,1180020,71995,1301
24340,"Grand Rapids-Wyoming-Kentwood, MI",Michigan,1162950,80709,1119
15380,"Buffalo-Cheektowaga, NY",New York,1155604,70565,1007
25540,"Hartford-West Hartford-East Hartford, CT",Connecticut,1151543,93006,1358
46060,"Tucson, AZ",Arizona,1063162,67929,1154
40380,"Rochester, NY",New York,1052087,74438,1087
46140,"Tulsa, OK",Oklahoma,1044757,67932,1021
46520,"Urban Honolulu, HI",Hawaii,989408,104264,2054
36540,"Omaha, NE-IA",Nebraska,983969,83732,1145
24860,"Greenville-Anderson-Greer, SC",South Carolina,975480,68990,1083
35380,"New Orleans-Metairie, LA",Louisiana,962165,62521,1178
14860,"Bridgeport-Stamford-Danbury, CT",Connecticut,951558,111669,1861
28940,"Knoxville, TN",Tennessee,946264,69633,1056
10740,"Albuquerque, NM",New Mexico,922296,68434,1127
12540,"Bakersfield-Delano, CA",California,913820,67660,1220
35840,"North Port-Bradenton-Sarasota, FL",Florida,910108,78287,1635
10580,"Albany-Schenectady-Troy, NY",New York,904682,86636,1237
32580,"McAllen-Edinburg-Mission, TX",Texas,898471,52281,925
12940,"Baton Rouge, LA",Louisiana,873661,70664,1099
10900,"Allentown-Bethlehem-Easton, PA-NJ",Pennsylvania,873555,82946,1308
21340,"El Paso, TX",Texas,873331,58782,1043
49340,"Worcester, MA",Massachusetts,866866,93561,1347
17900,"Columbia, SC",South Carolina,858302,66088,1116
16700,"Charleston-North Charleston, SC",South Carolina,849417,82237,1485
