fips,state,county,year,acs_median_household_income,acs_median_gross_rent,acs_rent_burden_pct,acs_poverty_rate,bls_unemployment_rate
01001,Alabama,Autauga County,2023,69841.0,1200.0,25.4,10.68,2.46
01003,Alabama,Baldwin County,2023,75019.0,1211.0,27.7,10.51,3.18
01005,Alabama,Barbour County,2023,44290.0,644.0,25.2,21.92,5.7
01007,Alabama,Bibb County,2023,51215.0,802.0,33.5,20.51,9.98
01009,Alabama,Blount County,2023,61096.0,743.0,30.2,14.1,5.83
01011,Alabama,Bullock County,2023,36723.0,635.0,42.8,25.65,5.87
01013,Alabama,Butler County,2023,44881.0,722.0,28.8,21.02,6.79
01015,Alabama,Calhoun County,2023,55826.0,804.0,27.9,17.46,6.38
01017,Alabama,Chambers County,2023,49295.0,850.0,22.6,15.48,4.95
01019,Alabama,Cherokee County,2023,50769.0,750.0,26.5,14.52,3.44
01021,Alabama,Chilton County,2023,61873.0,855.0,21.6,13.61,5.4
01023,Alabama,Choctaw County,2023,44483.0,653.0,24.9,19.53,5.5
01025,Alabama,Clarke County,2023,49167.0,785.0,32.8,20.54,13.15
01027,Alabama,Clay County,2023,51852.0,624.0,22.9,16.55,3.46
01029,Alabama,Cleburne County,2023,53319.0,792.0,27.9,13.15,1.53
01031,Alabama,Coffee County,2023,64672.0,970.0,25.8,17.62,4.08
01033,Alabama,Colbert County,2023,56736.0,838.0,28.4,16.88,3.28
01035,Alabama,Conecuh County,2023,42266.0,781.0,34.1,27.64,8.27
01037,Alabama,Coosa County,2023,57063.0,682.0,35.5,11.63,5.03
01039,Alabama,Covington County,2023,50886.0,736.0,29.7,18.04,4.56
01041,Alabama,Crenshaw County,2023,49040.0,664.0,23.1,16.19,4.84
01043,Alabama,Cullman County,2023,60916.0,883.0,24.7,13.9,4.18
01045,Alabama,Dale County,2023,53955.0,863.0,24.7,18.71,6.06
01047,Alabama,Dallas County,2023,36810.0,749.0,36.3,29.0,10.91
01049,Alabama,DeKalb County,2023,51149.0,683.0,26.9,20.36,4.24
01051,Alabama,Elmore County,2023,75553.0,1014.0,27.3,10.29,3.85
01053,Alabama,Escambia County,2023,44447.0,709.0,29.0,21.2,9.15
01055,Alabama,Etowah County,2023,53070.0,807.0,30.0,17.1,6.31
01057,Alabama,Fayette County,2023,50733.0,622.0,26.7,18.66,9.48
01059,Alabama,Franklin County,2023,51493.0,667.0,22.4,17.37,3.6
01061,Alabama,Geneva County,2023,50951.0,757.0,27.3,19.05,4.88
01063,Alabama,Greene County,2023,31495.0,429.0,25.4,35.91,3.34
01065,Alabama,Hale County,2023,41325.0,723.0,31.0,23.89,5.86
01067,Alabama,Henry County,2023,60135.0,770.0,28.7,15.79,3.29
01069,Alabama,Houston County,2023,57531.0,905.0,27.9,18.04,4.53
01071,Alabama,Jackson County,2023,49454.0,762.0,27.4,16.77,5.38
01073,Alabama,Jefferson County,2023,64589.0,1132.0,31.8,16.33,4.8
01075,Alabama,Lamar County,2023,47447.0,548.0,31.9,15.06,6.39
01077,Alabama,Lauderdale County,2023,59082.0,799.0,26.3,13.64,3.92
01079,Alabama,Lawrence County,2023,60040.0,708.0,21.8,13.74,2.06
01081,Alabama,Lee County,2023,61123.0,999.0,34.9,18.87,3.68
01083,Alabama,Limestone County,2023,83534.0,908.0,24.0,10.14,3.7
01085,Alabama,Lowndes County,2023,35160.0,663.0,35.4,29.59,7.23
01087,Alabama,Macon County,2023,45951.0,709.0,33.4,22.09,10.58
01089,Alabama,Madison County,2023,83528.0,1116.0,27.6,10.48,3.77
01091,Alabama,Marengo County,2023,44205.0,722.0,32.7,22.57,2.4
01093,Alabama,Marion County,2023,50714.0,583.0,27.9,16.85,6.15
01095,Alabama,Marshall County,2023,60946.0,765.0,27.1,16.29,3.69
01097,Alabama,Mobile County,2023,58119.0,1021.0,32.2,16.27,5.28
01099,Alabama,Monroe County,2023,40225.0,721.0,28.0,22.61,11.76
01101,Alabama,Montgomery County,2023,58153.0,1061.0,30.9,19.29,5.86
01103,Alabama,Morgan County,2023,64858.0,835.0,27.7,13.56,3.99
01105,Alabama,Perry County,2023,34368.0,610.0,26.9,31.24,15.78
01107,Alabama,Pickens County,2023,47014.0,600.0,30.4,22.57,6.46
01109,Alabama,Pike County,2023,47961.0,855.0,33.0,23.4,3.86
01111,Alabama,Randolph County,2023,51551.0,646.0,28.2,18.38,2.79
01113,Alabama,Russell County,2023,50046.0,898.0,30.8,22.25,6.24
01115,Alabama,St. Clair County,2023,78993.0,1077.0,26.4,11.17,4.43
01117,Alabama,Shelby County,2023,93543.0,1348.0,29.5,6.92,2.91
01119,Alabama,Sumter County,2023,37981.0,841.0,41.6,28.11,8.55
01121,Alabama,Talladega County,2023,56249.0,772.0,26.6,17.65,8.03
01123,Alabama,Tallapoosa County,2023,57185.0,734.0,25.4,15.21,7.48
01125,Alabama,Tuscaloosa County,2023,63947.0,997.0,31.9,16.65,5.37
01127,Alabama,Walker County,2023,54509.0,743.0,26.8,17.98,4.36
01129,Alabama,Washington County,2023,60503.0,628.0,25.1,18.45,6.15
01131,Alabama,Wilcox County,2023,42236.0,699.0,30.6,29.03,12.1
01133,Alabama,Winston County,2023,48032.0,744.0,28.0,19.46,4.16
02013,Alaska,Aleutians East Borough,2023,72692.0,1040.0,21.0,12.43,3.79
02016,Alaska,Aleutians West Census Area,2023,107344.0,1886.0,21.4,9.24,4.0
02020,Alaska,Anchorage Municipality,2023,98152.0,1453.0,29.1,9.27,4.3
02050,Alaska,Bethel Census Area,2023,70616.0,1454.0,19.2,24.03,14.03
02060,Alaska,Bristol Bay Borough,2023,100625.0,1318.0,12.4,9.67,3.92
02063,Alaska,Chugach Census Area,2023,88565.0,1397.0,27.6,4.81,8.27
02066,Alaska,Copper River Census Area,2023,75053.0,973.0,17.9,11.38,7.51
02068,Alaska,Denali Borough,2023,88935.0,938.0,26.9,6.57,1.21
